config_name,n_mels,hop_length,best_val_lev,best_epoch,final_train_loss,final_val_loss,status,train_time_min,infer_time_sec,error,run_suffix,mlflow_run_id
nMels12_Hop64_Simple,12,64,0.7433333333333333,10,0.33359405406098813,0.3063772344986598,completed,22.986995204289755,49.04635548591614,,_nMels12_Simple,607224b580464264a2a46d3cd6e19ab5
nMels16_Hop64_Simple,16,64,0.7523333333333333,10,0.3446394923143089,0.30846061305205025,completed,23.237039196491242,47.919352769851685,,_nMels16_Simple,9b60674a1cfc4758b58377239e4e8de2
nMels8_Hop64_Simple,8,64,0.756,10,0.3492217861181125,0.3109173994163672,completed,22.780435093243916,48.06628775596619,,_nMels8_Simple,58353f60a35f4f2dacfa74afe8b5dc67
nMels24_Hop64_Simple,24,64,0.7573333333333333,10,0.3308256121585146,0.31262253030141196,completed,23.748644240697224,50.162370681762695,,_nMels24_Simple,407a7031c46d4e3c89cc5b75d405d7fe
nMels32_Hop64_Simple,32,64,0.7726666666666666,10,0.3439301811964251,0.3172863552570343,completed,23.926550753911336,47.85532855987549,,_nMels32_Simple,47c43f4c0ca94bd0b1031456155b7941
